pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,ws,vws,wd,bp,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
28.14,53.21,6.98,7.97,,0.76,5.8,29.08,38.88,63.58,0.47,0.04,331.8,718.58,2024-06-17 08:45:00,7.12,0.33,0.27,0.74,
28.14,53.21,6.73,7.88,,0.76,6.45,29.77,38.82,64.16,0.48,0.04,282.8,719.02,2024-06-17 09:00:00,5.93,0.33,0.27,0.74,
28.21,53.35,6.87,8.19,,0.76,5.43,22.7,39.06,62.58,0.36,0.04,295.6,719.0,2024-06-17 09:15:00,6.03,0.33,0.27,0.74,
29.18,55.29,7.34,8.2,,0.76,7.27,21.16,39.24,61.56,0.72,0.04,268.54,718.98,2024-06-17 09:30:00,7.6,0.33,0.27,0.74,
29.18,55.29,7.25,7.97,,0.76,6.43,18.73,39.49,59.34,0.65,0.04,267.16,717.79,2024-06-17 09:45:00,6.73,0.33,0.27,0.74,
29.18,55.29,7.42,7.81,,0.76,6.58,17.35,39.73,58.9,0.67,0.03,261.4,717.06,2024-06-17 10:00:00,7.16,0.33,0.27,0.74,
29.23,55.4,6.5,7.93,,0.76,6.6,18.31,40.08,57.15,0.59,0.04,275.35,716.52,2024-06-17 10:15:00,7.53,0.33,0.27,0.74,
30.14,57.21,6.97,7.6,,0.76,6.21,41.45,40.73,53.92,0.14,0.04,60.0,715.73,2024-06-17 10:30:00,8.01,0.33,0.27,0.74,
30.14,57.21,6.96,7.72,,0.76,6.74,32.44,40.76,54.03,0.61,0.04,270.29,715.06,2024-06-17 10:45:00,6.43,0.33,0.27,0.74,
30.14,57.21,7.46,7.96,,0.76,6.19,36.43,41.13,49.49,0.58,0.04,324.53,715.0,2024-06-17 11:00:00,6.82,0.33,0.27,0.74,
30.11,57.14,7.23,8.11,,0.76,8.33,35.65,41.54,48.72,0.5,0.04,297.25,714.63,2024-06-17 11:15:00,6.62,0.33,0.27,0.74,
29.65,56.22,6.53,8.23,,0.76,7.09,39.9,41.68,47.32,0.52,0.04,326.55,713.83,2024-06-17 11:30:00,6.12,0.33,0.27,0.74,
29.65,56.22,7.08,8.02,,0.76,6.22,36.57,41.51,48.47,0.75,0.03,268.74,713.29,2024-06-17 11:45:00,7.65,0.33,0.27,0.74,
29.65,56.22,7.3,8.06,,0.76,7.48,40.99,41.78,48.51,0.38,0.04,291.54,712.38,2024-06-17 12:00:00,7.13,0.33,0.27,0.74,
29.68,56.3,6.6,7.66,,0.76,6.05,42.19,41.8,48.24,0.66,0.04,261.17,712.04,2024-06-17 12:15:00,7.25,0.33,0.27,0.74,
30.21,57.35,7.16,7.99,,0.76,6.22,45.15,41.81,48.11,0.56,0.04,253.54,711.96,2024-06-17 12:30:00,5.62,0.33,0.27,0.74,
30.21,57.35,7.03,7.91,,0.76,6.74,49.33,42.03,47.85,0.59,0.03,254.47,711.07,2024-06-17 12:45:00,6.03,0.33,0.27,0.74,
30.21,57.35,7.19,8.11,,0.76,6.82,49.53,41.88,47.5,0.69,0.03,261.77,710.89,2024-06-17 13:00:00,7.0,0.33,0.27,0.74,
30.23,57.39,6.25,7.77,,0.76,6.58,56.95,42.16,47.61,0.43,0.04,263.46,710.03,2024-06-17 13:15:00,6.15,0.33,0.27,0.74,
30.54,58.01,6.55,7.91,,0.76,6.36,52.16,42.2,46.66,0.61,0.04,258.23,709.82,2024-06-17 13:30:00,6.72,0.33,0.27,0.74,
30.54,58.01,7.12,8.39,,0.76,6.74,53.31,42.19,46.46,0.73,0.03,257.28,709.0,2024-06-17 13:45:00,7.29,0.33,0.27,0.74,
30.54,58.01,6.68,7.7,,0.76,5.42,51.15,42.27,45.8,0.67,0.04,254.94,708.31,2024-06-17 14:00:00,8.27,0.33,0.27,0.74,
30.55,58.02,7.15,8.14,,0.76,6.94,55.03,42.31,45.03,0.74,0.03,255.27,708.03,2024-06-17 14:15:00,6.72,0.33,0.27,0.74,
30.66,58.25,7.22,7.71,,0.76,5.91,56.66,42.4,44.66,0.76,0.03,257.85,707.59,2024-06-17 14:30:00,6.89,0.33,0.27,0.74,
30.66,58.25,7.03,8.01,,0.76,6.94,50.83,42.37,43.54,0.8,0.03,265.49,706.96,2024-06-17 14:45:00,6.73,0.33,0.27,0.74,
30.66,58.25,6.81,8.03,,0.76,6.64,48.34,42.37,43.66,0.76,0.03,260.94,706.0,2024-06-17 15:00:00,5.54,0.33,0.27,0.74,
30.57,58.08,6.65,7.98,,0.76,6.1,47.37,42.49,43.48,0.59,0.03,261.04,705.74,2024-06-17 15:15:00,6.54,0.33,0.27,0.74,
29.35,55.63,7.33,7.75,,0.76,6.48,44.27,42.43,44.44,0.74,0.03,259.48,705.01,2024-06-17 15:30:00,7.51,0.33,0.27,0.74,
29.35,55.63,7.55,7.95,,0.76,6.59,45.86,42.49,43.29,0.65,0.04,263.0,704.61,2024-06-17 15:45:00,7.32,0.33,0.27,0.74,
29.35,55.63,7.0,8.25,,0.76,5.56,44.88,42.4,44.54,0.11,0.04,161.58,703.99,2024-06-17 16:00:00,7.06,0.33,0.27,0.74,
29.31,55.55,7.12,8.04,,0.76,6.2,41.44,42.5,44.31,0.23,0.04,164.32,703.98,2024-06-17 16:15:00,6.19,0.33,0.27,0.74,
28.75,54.42,7.33,7.95,,0.76,7.1,45.63,42.19,43.76,0.06,0.04,91.28,703.71,2024-06-17 16:30:00,7.87,0.33,0.27,0.74,
28.75,54.42,7.1,7.85,,0.76,7.31,56.73,40.47,54.48,0.53,0.03,57.27,704.0,2024-06-17 16:45:00,5.76,0.33,0.27,0.74,
28.75,54.42,6.64,7.94,,0.76,6.51,49.64,39.34,57.19,0.68,0.04,164.13,704.39,2024-06-17 17:00:00,6.95,0.33,0.27,0.74,
28.73,54.38,6.65,8.11,,0.76,7.69,43.84,39.14,53.62,0.6,0.04,208.74,706.62,2024-06-17 17:15:00,5.12,0.33,0.27,0.74,
28.45,53.84,6.28,7.87,,0.76,6.8,40.49,39.35,54.76,0.42,0.04,178.94,707.0,2024-06-17 17:30:00,6.0,0.33,0.27,0.74,
28.45,53.84,6.92,7.78,,0.76,6.25,42.35,38.96,56.9,0.75,0.03,264.34,707.09,2024-06-17 17:45:00,6.29,0.33,0.27,0.74,
28.45,53.84,6.96,7.87,,0.76,6.5,40.01,38.6,56.95,0.78,0.03,266.76,708.16,2024-06-17 18:00:00,8.01,0.33,0.27,0.74,
28.45,53.82,7.5,7.78,,0.76,6.2,36.89,38.22,58.59,0.77,0.03,266.21,708.7,2024-06-17 18:15:00,7.37,0.33,0.27,0.74,
28.31,53.55,7.1,7.98,,0.76,7.1,49.15,37.8,62.83,0.77,0.03,268.63,708.89,2024-06-17 18:30:00,6.53,0.33,0.27,0.74,
28.31,53.55,6.39,8.15,,0.76,6.38,24.93,37.28,66.58,0.77,0.03,263.37,711.09,2024-06-17 18:45:00,7.54,0.33,0.27,0.74,
28.31,53.55,6.48,8.02,,0.76,7.12,21.5,37.2,65.6,0.72,0.04,276.11,711.74,2024-06-17 19:00:00,7.12,0.33,0.27,0.74,
28.31,53.54,7.17,8.56,,0.76,7.2,21.73,37.33,64.5,0.65,0.04,280.31,712.03,2024-06-17 19:15:00,5.42,0.33,0.27,0.74,
28.24,53.4,7.12,8.08,,0.76,6.32,21.79,37.31,63.96,0.59,0.04,300.02,712.53,2024-06-17 19:30:00,6.43,0.33,0.27,0.74,
28.24,53.4,6.79,8.01,,0.76,6.88,20.77,37.33,65.48,0.75,0.04,265.94,713.99,2024-06-17 19:45:00,6.21,0.33,0.27,0.74,
28.24,53.4,7.01,8.2,,0.76,6.88,24.0,37.28,65.95,0.77,0.04,267.04,714.77,2024-06-17 20:00:00,6.7,0.33,0.27,0.74,
28.31,53.54,7.39,7.98,,0.76,6.04,28.57,37.35,64.11,0.75,0.04,271.71,714.81,2024-06-17 20:15:00,6.31,0.33,0.27,0.74,
29.29,55.51,6.81,7.87,,0.76,6.58,28.78,37.42,63.52,0.73,0.04,270.2,715.0,2024-06-17 20:30:00,6.07,0.33,0.27,0.74,
29.29,55.51,6.79,8.09,,0.76,5.84,24.52,37.64,63.2,0.77,0.04,273.15,715.17,2024-06-17 20:45:00,5.1,0.33,0.27,0.74,
29.29,55.51,6.23,8.07,,0.76,6.91,29.39,37.74,63.1,0.77,0.04,259.86,715.3,2024-06-17 21:00:00,7.39,0.33,0.27,0.74,
29.26,55.45,6.83,8.11,,0.76,6.54,20.17,38.0,61.38,0.76,0.04,266.28,716.79,2024-06-17 21:15:00,5.61,0.33,0.27,0.74,
28.83,54.59,6.58,8.14,,0.76,6.94,20.02,38.06,61.76,0.76,0.04,258.68,716.98,2024-06-17 21:30:00,7.4,0.33,0.27,0.74,
28.83,54.59,7.86,7.96,,0.76,7.39,21.03,38.1,62.35,0.76,0.04,252.48,716.7,2024-06-17 21:45:00,6.74,0.33,0.27,0.74,
28.83,54.59,7.62,8.31,,0.76,6.39,28.58,38.01,63.06,0.77,0.04,266.82,716.71,2024-06-17 22:00:00,5.7,0.33,0.27,0.74,
28.81,54.56,6.82,8.23,,0.76,6.48,28.07,37.8,64.37,0.76,0.04,253.39,717.83,2024-06-17 22:15:00,6.05,0.33,0.27,0.74,
28.57,54.07,7.02,7.84,,0.76,6.64,28.56,37.86,63.92,0.73,0.04,271.57,717.73,2024-06-17 22:30:00,5.82,0.33,0.27,0.74,
28.57,54.07,7.16,8.13,,0.76,6.38,28.34,37.85,64.27,0.75,0.04,272.48,717.94,2024-06-17 22:45:00,7.02,0.33,0.27,0.74,
28.57,54.07,6.62,8.06,,0.76,6.63,37.85,37.88,66.48,0.75,0.04,261.13,717.91,2024-06-17 23:00:00,7.27,0.33,0.27,0.74,
28.56,54.05,7.48,8.06,,0.76,7.03,43.0,37.91,69.65,0.74,0.04,255.59,717.0,2024-06-17 23:15:00,5.81,0.33,0.27,0.74,
28.41,53.76,6.84,7.79,,0.76,6.9,40.74,37.79,72.57,0.76,0.04,253.36,716.94,2024-06-17 23:30:00,7.73,0.33,0.27,0.74,
28.41,53.76,6.89,8.45,,0.76,6.51,41.27,37.68,74.58,0.73,0.04,253.44,717.0,2024-06-17 23:45:00,6.72,0.33,0.27,0.74,
28.41,53.76,6.75,7.94,,0.76,6.45,38.69,37.59,76.01,0.71,0.04,252.15,716.56,2024-06-18 00:00:00,6.98,0.33,0.27,0.74,
28.41,53.75,6.62,7.8,,0.76,7.33,39.23,37.51,76.99,0.52,0.04,218.62,715.34,2024-06-18 00:15:00,7.05,0.33,0.27,0.74,
28.32,53.57,7.18,8.17,,0.76,6.57,37.43,37.42,77.49,0.5,0.04,240.02,715.0,2024-06-18 00:30:00,6.04,0.33,0.27,0.74,
28.32,53.57,7.05,7.96,,0.76,6.04,39.18,37.41,77.31,0.4,0.04,211.89,714.72,2024-06-18 00:45:00,7.16,0.33,0.27,0.74,
28.32,53.57,7.53,8.12,,0.76,5.64,35.57,37.37,77.35,0.15,0.04,114.94,714.06,2024-06-18 01:00:00,7.19,0.33,0.27,0.74,
28.32,53.57,6.77,8.25,,0.76,6.51,37.66,37.31,76.88,0.27,0.04,272.86,713.4,2024-06-18 01:15:00,5.78,0.33,0.27,0.74,
28.26,53.46,6.95,7.89,,0.76,6.14,40.98,37.35,76.15,0.55,0.04,248.5,712.3,2024-06-18 01:30:00,7.36,0.33,0.27,0.74,
28.26,53.46,6.76,7.74,,0.76,5.73,40.01,37.34,75.9,0.56,0.04,215.47,712.0,2024-06-18 01:45:00,7.15,0.33,0.27,0.74,
28.26,53.46,6.63,7.89,,0.76,5.99,43.74,37.29,75.79,0.56,0.04,234.21,711.51,2024-06-18 02:00:00,6.66,0.33,0.27,0.74,
28.26,53.45,6.96,8.37,,0.76,5.09,69.34,37.18,76.32,0.61,0.04,245.49,711.0,2024-06-18 02:15:00,6.39,0.33,0.27,0.74,
28.23,53.38,7.01,7.97,,0.76,6.94,76.16,37.09,77.81,0.58,0.04,252.05,711.0,2024-06-18 02:30:00,7.42,0.33,0.27,0.74,
28.23,53.38,7.23,8.48,,0.76,6.2,42.36,37.05,79.39,0.52,0.04,251.45,711.0,2024-06-18 02:45:00,8.15,0.33,0.27,0.74,
28.23,53.38,7.08,8.13,,0.76,6.22,38.13,36.99,80.31,0.61,0.04,245.25,711.0,2024-06-18 03:00:00,6.74,0.33,0.27,0.74,
28.22,53.38,7.23,8.22,,0.76,6.58,35.8,36.97,80.75,0.57,0.04,243.31,711.14,2024-06-18 03:15:00,6.49,0.33,0.27,0.74,
28.2,53.33,6.88,8.1,,0.76,6.49,32.2,36.95,81.07,0.67,0.04,246.85,711.66,2024-06-18 03:30:00,7.71,0.33,0.27,0.74,
28.2,53.33,6.67,8.04,,0.76,6.97,33.94,36.93,81.05,0.69,0.04,258.82,712.01,2024-06-18 03:45:00,6.95,0.33,0.27,0.74,
28.2,53.33,6.58,8.12,,0.76,6.92,35.09,36.89,81.53,0.74,0.04,261.64,712.01,2024-06-18 04:00:00,7.82,0.33,0.27,0.74,
28.2,53.33,6.75,8.15,,0.76,6.05,33.96,36.9,81.63,0.69,0.04,253.98,712.12,2024-06-18 04:15:00,5.63,0.33,0.27,0.74,
28.19,53.3,6.74,7.7,,0.76,5.68,35.21,36.87,81.72,0.62,0.04,255.85,712.09,2024-06-18 04:30:00,6.29,0.33,0.27,0.74,
28.19,53.3,7.22,7.96,,0.76,6.65,33.74,36.89,81.88,0.61,0.04,251.46,712.22,2024-06-18 04:45:00,6.96,0.33,0.27,0.74,
28.19,53.3,7.19,8.36,,0.76,5.32,34.16,36.83,82.62,0.62,0.04,251.57,712.66,2024-06-18 05:00:00,6.2,0.33,0.27,0.74,
28.19,53.3,7.15,8.21,,0.76,6.2,33.79,36.8,83.16,0.5,0.04,241.41,713.39,2024-06-18 05:15:00,7.04,0.33,0.27,0.74,
28.17,53.28,7.02,8.1,,0.76,6.9,32.39,36.78,83.78,0.66,0.04,261.06,713.81,2024-06-18 05:30:00,7.34,0.33,0.27,0.74,
28.17,53.28,6.87,7.96,,0.76,6.39,31.48,36.78,84.49,0.72,0.04,262.31,713.89,2024-06-18 05:45:00,6.49,0.33,0.27,0.74,
28.17,53.28,7.03,8.16,,0.76,5.99,31.35,36.82,84.98,0.11,0.04,282.63,714.0,2024-06-18 06:00:00,6.91,0.33,0.27,0.74,
28.17,53.28,7.35,8.12,,0.76,7.0,28.23,36.9,85.15,0.49,0.04,291.56,714.92,2024-06-18 06:15:00,5.97,0.33,0.27,0.74,
28.17,53.26,7.6,8.0,,0.76,7.14,28.67,37.01,85.0,0.59,0.04,243.31,715.0,2024-06-18 06:30:00,6.95,0.33,0.27,0.74,
28.17,53.26,6.81,7.78,,0.76,6.76,28.57,37.15,84.6,0.73,0.04,256.81,714.97,2024-06-18 06:45:00,7.33,0.33,0.27,0.74,
28.17,53.26,7.17,7.84,,0.76,6.12,30.06,37.25,83.88,0.72,0.04,254.51,715.01,2024-06-18 07:00:00,6.01,0.33,0.27,0.74,
28.17,53.26,6.87,7.95,,0.76,6.64,27.81,37.54,80.48,0.69,0.04,262.64,715.0,2024-06-18 07:15:00,7.48,0.33,0.27,0.74,
28.16,53.25,7.75,8.29,,0.76,7.43,29.11,37.76,77.15,0.74,0.03,264.95,715.0,2024-06-18 07:30:00,6.47,0.33,0.27,0.74,
28.16,53.25,7.24,7.87,,0.76,6.83,30.13,37.85,76.88,0.7,0.03,264.03,715.0,2024-06-18 07:45:00,6.55,0.33,0.27,0.74,
28.16,53.25,6.88,8.01,,0.76,6.41,31.64,38.31,73.32,0.75,0.04,249.49,715.06,2024-06-18 08:00:00,6.12,0.33,0.27,0.74,
28.16,53.25,6.98,7.94,,0.76,5.83,51.53,38.69,70.61,0.7,0.04,254.18,716.01,2024-06-18 08:15:00,6.79,0.33,0.27,0.74,
28.16,53.25,6.81,8.01,,0.76,5.6,64.22,38.88,68.46,0.73,0.03,263.85,716.72,2024-06-18 08:30:00,7.09,0.33,0.27,0.74,
28.16,53.25,7.01,7.9,,0.76,6.61,65.99,39.18,67.01,0.75,0.04,258.29,716.94,2024-06-18 08:45:00,6.07,0.33,0.27,0.74,
28.16,53.25,6.49,7.9,,0.76,7.31,13.27,39.52,65.11,0.72,0.04,254.54,716.93,2024-06-18 09:00:00,6.3,0.33,0.27,0.74,
28.2,53.33,6.72,7.91,,0.76,6.3,19.18,39.88,63.12,0.64,0.03,253.7,716.62,2024-06-18 09:15:00,7.28,0.33,0.27,0.74,
28.95,54.84,6.7,7.86,,0.76,6.3,17.9,40.05,62.12,0.78,0.04,254.17,715.5,2024-06-18 09:30:00,5.52,0.33,0.27,0.74,
28.95,54.84,6.93,7.91,,0.76,7.02,18.1,40.41,60.46,0.7,0.03,253.8,715.0,2024-06-18 09:45:00,6.05,0.33,0.27,0.74,
28.95,54.84,7.49,8.05,,0.76,6.06,21.89,40.67,57.84,0.76,0.03,261.87,714.93,2024-06-18 10:00:00,5.51,0.33,0.27,0.74,
29.89,56.7,6.98,7.95,,0.76,6.43,40.0,41.32,55.74,0.61,0.03,294.58,714.06,2024-06-18 10:15:00,5.88,0.33,0.27,0.74,
42.96,82.84,6.92,8.08,,0.76,6.54,34.63,41.33,55.15,0.69,0.03,276.31,713.37,2024-06-18 10:30:00,6.06,0.33,0.27,0.74,
42.96,82.84,6.78,7.92,,0.76,6.49,36.1,41.68,54.4,0.54,0.03,274.25,713.0,2024-06-18 10:45:00,7.02,0.33,0.27,0.74,
42.96,82.84,7.58,8.31,,0.76,6.15,23.38,41.72,55.01,0.52,0.04,290.82,712.3,2024-06-18 11:00:00,7.59,0.33,0.27,0.74,
42.14,81.22,6.88,8.15,,0.76,6.95,23.11,41.8,54.71,0.34,0.04,349.42,711.16,2024-06-18 11:15:00,7.33,0.33,0.27,0.74,
30.76,58.45,7.38,8.26,,0.76,6.74,24.38,42.15,52.57,0.51,0.04,320.12,710.72,2024-06-18 11:30:00,6.09,0.33,0.27,0.74,
30.76,58.45,6.74,7.97,,0.76,7.37,30.9,42.83,49.91,0.48,0.04,330.05,710.42,2024-06-18 11:45:00,7.13,0.33,0.27,0.74,
30.76,58.45,7.2,7.84,,0.76,6.34,29.33,43.07,47.99,0.55,0.03,299.18,710.16,2024-06-18 12:00:00,7.6,0.33,0.27,0.74,
30.75,58.43,6.91,7.47,,0.76,6.16,38.14,43.09,48.11,0.46,0.04,297.53,709.86,2024-06-18 12:15:00,6.99,0.33,0.27,0.74,
30.67,58.27,7.18,7.95,,0.76,7.0,48.96,43.27,46.57,0.48,0.03,283.63,708.94,2024-06-18 12:30:00,6.93,0.33,0.27,0.74,
30.67,58.27,7.66,8.01,,0.76,7.37,39.34,43.1,46.71,0.54,0.04,262.93,708.42,2024-06-18 12:45:00,7.85,0.33,0.27,0.74,
30.67,58.27,7.15,8.08,,0.76,6.77,51.02,43.02,46.77,0.66,0.03,259.79,707.76,2024-06-18 13:00:00,8.35,0.33,0.27,0.74,
30.56,58.05,6.43,8.06,,0.76,6.87,54.47,43.24,45.87,0.62,0.03,259.74,706.62,2024-06-18 13:15:00,6.67,0.33,0.27,0.74,
29.01,54.96,7.27,7.89,,0.76,6.83,55.82,43.39,45.9,0.7,0.03,282.73,705.58,2024-06-18 13:30:00,6.41,0.33,0.27,0.74,
29.01,54.96,6.23,8.52,,0.76,6.51,58.33,43.26,46.1,0.68,0.03,253.39,704.84,2024-06-18 13:45:00,7.83,0.33,0.27,0.74,
29.01,54.96,6.53,8.05,,0.76,6.67,55.74,43.36,45.84,0.74,0.03,272.81,704.03,2024-06-18 14:00:00,5.77,0.33,0.27,0.74,
29.1,55.12,7.02,7.93,,0.76,6.91,53.61,43.47,44.24,0.76,0.03,263.04,703.34,2024-06-18 14:15:00,5.47,0.33,0.27,0.74,
30.24,57.41,6.87,8.52,,0.76,5.71,31.73,43.58,42.57,0.76,0.03,274.72,702.14,2024-06-18 14:30:00,6.4,0.33,0.27,0.74,
30.24,57.41,7.23,8.1,,0.76,6.3,26.48,43.62,42.63,0.72,0.03,265.79,701.37,2024-06-18 14:45:00,5.66,0.33,0.27,0.74,
30.24,57.41,6.53,7.76,,0.76,6.12,48.22,43.75,41.43,0.77,0.03,273.53,700.23,2024-06-18 15:00:00,6.69,0.33,0.27,0.74,
30.81,58.55,7.31,8.0,,0.76,7.28,30.56,43.7,42.11,0.64,0.03,255.89,700.44,2024-06-18 15:15:00,6.8,0.33,0.27,0.74,
38.74,74.42,6.31,8.19,,0.76,6.99,32.66,43.49,42.78,0.77,0.04,252.34,700.97,2024-06-18 15:30:00,5.66,0.33,0.27,0.74,
38.74,74.42,6.85,7.96,,0.76,6.98,34.13,41.01,52.86,0.57,0.03,220.51,703.19,2024-06-18 15:45:00,6.58,0.33,0.27,0.74,
38.74,74.42,7.22,8.36,,0.76,6.26,25.88,37.92,64.46,0.64,0.03,246.86,702.01,2024-06-18 16:00:00,6.65,0.33,0.27,0.74,
38.27,73.46,6.03,7.82,,0.76,6.11,28.28,37.56,64.95,0.35,0.03,259.54,702.08,2024-06-18 16:15:00,4.93,0.33,0.27,0.74,
31.6,60.14,7.27,7.94,,0.76,6.83,25.78,37.5,65.87,0.54,0.03,359.72,703.38,2024-06-18 16:30:00,5.85,0.33,0.27,0.74,
31.6,60.14,6.31,7.73,,0.76,6.41,26.09,38.11,61.67,0.45,0.03,304.76,703.86,2024-06-18 16:45:00,6.8,0.33,0.27,0.74,
31.6,60.14,7.31,7.94,,0.76,6.11,41.86,37.5,68.74,0.66,0.04,342.48,703.86,2024-06-18 17:00:00,6.69,0.33,0.27,0.74,
31.5,59.94,7.21,7.84,,0.76,7.14,33.38,37.2,71.32,0.58,0.04,297.35,702.47,2024-06-18 17:15:00,6.12,0.33,0.27,0.74,
30.09,57.11,6.73,7.9,,0.76,6.21,31.37,37.31,69.9,0.64,0.04,293.86,703.97,2024-06-18 17:30:00,6.18,0.33,0.27,0.74,
30.09,57.11,6.64,7.95,,0.76,6.66,30.49,37.61,66.84,0.75,0.04,269.91,704.0,2024-06-18 17:45:00,6.29,0.33,0.27,0.74,
30.09,57.11,6.64,8.23,,0.76,7.07,29.17,37.64,66.77,0.78,0.04,261.95,703.98,2024-06-18 18:00:00,6.48,0.33,0.27,0.74,
30.08,57.09,6.89,8.13,,0.76,5.96,31.69,37.5,68.94,0.7,0.04,264.3,704.4,2024-06-18 18:15:00,6.11,0.33,0.27,0.74,
29.94,56.81,7.2,8.35,,0.76,7.5,31.76,37.74,66.0,0.48,0.04,243.55,704.94,2024-06-18 18:30:00,5.85,0.33,0.27,0.74,
29.94,56.81,7.26,8.09,,0.76,6.28,26.44,38.02,63.02,0.71,0.04,269.78,705.49,2024-06-18 18:45:00,6.71,0.33,0.27,0.74,
29.94,56.81,6.59,7.99,,0.76,6.25,29.08,37.99,64.15,0.74,0.04,264.86,705.93,2024-06-18 19:00:00,6.05,0.33,0.27,0.74,
29.98,56.89,6.29,7.99,,0.76,6.32,30.81,37.71,66.12,0.71,0.04,267.34,707.03,2024-06-18 19:15:00,7.96,0.33,0.27,0.74,
30.55,58.03,6.82,7.97,,0.76,6.83,31.42,37.47,67.71,0.74,0.04,269.63,708.01,2024-06-18 19:30:00,6.76,0.33,0.27,0.74,
30.55,58.03,7.46,7.94,,0.76,6.52,31.92,37.31,68.94,0.75,0.04,269.76,708.14,2024-06-18 19:45:00,6.02,0.33,0.27,0.74,
30.55,58.03,7.32,8.18,,0.76,5.73,31.14,37.3,68.95,0.71,0.04,273.95,708.9,2024-06-18 20:00:00,7.47,0.33,0.27,0.74,
30.55,58.03,6.94,8.03,,0.76,6.64,30.91,37.32,68.68,0.18,0.04,4.44,709.11,2024-06-18 20:15:00,6.64,0.33,0.27,0.74,
30.61,58.16,7.14,7.87,,0.76,5.97,27.73,37.39,68.1,0.74,0.04,272.36,709.87,2024-06-18 20:30:00,6.63,0.33,0.27,0.74,
30.61,58.16,6.65,8.0,,0.76,6.42,26.54,37.48,68.36,0.63,0.04,264.96,710.03,2024-06-18 20:45:00,6.28,0.33,0.27,0.74,
30.61,58.16,6.77,8.05,,0.76,6.9,23.29,37.39,68.91,0.61,0.04,27.82,710.48,2024-06-18 21:00:00,6.7,0.33,0.27,0.74,
30.59,58.1,6.33,7.81,,0.76,6.76,23.54,37.4,70.41,0.56,0.04,110.85,711.18,2024-06-18 21:15:00,6.29,0.33,0.27,0.74,
30.2,57.33,6.9,8.24,,0.76,8.15,22.79,37.32,70.09,0.44,0.04,113.26,712.01,2024-06-18 21:30:00,7.56,0.33,0.27,0.74,
30.2,57.33,6.78,8.38,,0.76,6.36,22.46,37.21,71.47,0.63,0.04,31.33,712.5,2024-06-18 21:45:00,6.99,0.33,0.27,0.74,
30.2,57.33,7.16,8.36,,0.76,5.7,23.13,37.03,74.86,0.6,0.04,57.15,713.82,2024-06-18 22:00:00,7.95,0.33,0.27,0.74,
30.21,57.35,6.53,8.03,,0.76,6.7,22.99,36.95,75.68,0.49,0.04,63.61,713.77,2024-06-18 22:15:00,6.11,0.33,0.27,0.74,
30.39,57.72,7.66,8.17,,0.76,7.1,23.44,36.93,74.79,0.52,0.03,43.5,713.94,2024-06-18 22:30:00,6.08,0.33,0.27,0.74,
30.39,57.72,6.68,8.02,,0.76,5.28,25.4,36.92,75.09,0.56,0.04,3.89,713.68,2024-06-18 22:45:00,5.82,0.33,0.27,0.74,
30.39,57.72,7.23,8.06,,0.76,5.96,27.92,36.85,76.1,0.63,0.04,27.12,713.1,2024-06-18 23:00:00,7.44,0.33,0.27,0.74,
30.36,57.64,7.18,8.21,,0.76,6.33,23.3,36.59,80.51,0.77,0.04,37.89,712.59,2024-06-18 23:15:00,6.31,0.33,0.27,0.74,
29.73,56.38,7.41,7.99,,0.76,8.03,17.93,36.35,81.79,0.14,0.04,138.01,711.88,2024-06-18 23:30:00,6.45,0.33,0.27,0.74,
29.73,56.38,6.84,8.08,,0.76,5.6,18.52,36.43,79.93,0.57,0.04,62.86,711.17,2024-06-18 23:45:00,6.84,0.33,0.27,0.74,
29.73,56.38,6.5,7.83,,0.76,7.19,20.47,36.47,80.86,0.55,0.04,61.61,711.03,2024-06-19 00:00:00,6.96,0.33,0.27,0.74,
29.75,56.43,6.81,7.78,,0.76,7.02,23.48,36.29,82.61,0.35,0.04,65.77,711.11,2024-06-19 00:15:00,6.04,0.33,0.27,0.74,
30.05,57.04,7.15,7.91,,0.76,6.31,20.33,36.37,81.67,0.61,0.04,29.42,710.9,2024-06-19 00:30:00,6.78,0.33,0.27,0.74,
30.05,57.04,7.59,7.93,,0.76,6.13,18.63,36.3,81.1,0.64,0.04,21.87,710.26,2024-06-19 00:45:00,5.33,0.33,0.27,0.74,
30.05,57.04,6.81,8.22,,0.76,6.15,17.85,36.26,81.93,0.53,0.04,50.85,709.52,2024-06-19 01:00:00,5.99,0.33,0.27,0.74,
30.09,57.12,7.05,8.06,,0.76,6.21,20.8,36.24,82.54,0.49,0.03,13.91,709.94,2024-06-19 01:15:00,5.33,0.33,0.27,0.74,
30.75,58.43,6.73,8.37,,0.76,5.0,24.71,36.38,80.12,0.4,0.04,45.43,709.58,2024-06-19 01:30:00,6.72,0.33,0.27,0.74,
30.75,58.43,7.01,8.27,,0.76,6.17,23.77,36.48,80.17,0.1,0.04,358.54,708.86,2024-06-19 01:45:00,7.15,0.33,0.27,0.74,
30.75,58.43,7.17,7.83,,0.76,6.95,22.37,36.57,79.95,0.51,0.04,76.15,708.42,2024-06-19 02:00:00,5.44,0.33,0.27,0.74,
30.77,58.47,7.0,8.26,,0.76,5.41,21.57,36.61,80.59,0.72,0.04,49.47,708.0,2024-06-19 02:15:00,7.1,0.33,0.27,0.74,
